Year,Crude Oil Q1,Crude Oil Q2,Crude Oil Q3,Crude Oil Q4,Previous Year Crude Oil Q1,Previous Year Crude Oil Q2,Previous Year Crude Oil Q3,Previous Year Crude Oil Q4
2004,35.25,38.284,43.892,48.272,33.801,28.909,30.211,31.16
2005,50.031,53.22,63.312,60.046,35.25,38.284,43.892,48.272
2006,63.478,70.724,70.502,60.174,50.031,53.22,63.312,60.046
2007,58.271,65.024,75.148,90.504,63.478,70.724,70.502,60.174
2008,97.818,123.799,118.221,59.077,58.271,65.024,75.148,90.504
2009,43.307,59.786,68.237,76.13,97.818,123.799,118.221,59.077
2010,78.884,78.053,76.207,85.238,43.307,59.786,68.237,76.13
2011,94.601,102.343,89.538,94.056,78.884,78.053,76.207,85.238
2012,103.034,93.352,92.204,88.31,94.601,102.343,89.538,94.056
2013,94.361,94.173,105.812,97.611,103.034,93.352,92.204,88.31
2014,98.615,102.992,97.249,73.196,94.361,94.173,105.812,97.611
2015,48.575,57.95,46.498,42.157,98.615,102.992,97.249,73.196
2016,33.626,45.642,44.939,49.353,48.575,57.95,46.498,42.157
2017,51.781,48.149,48.196,55.301,33.626,45.642,44.939,49.353
2018,62.894,67.91,69.433,59.441,51.781,48.149,48.196,55.301
2019,54.897,59.912,56.436,56.8,62.894,67.91,69.433,59.441
