Year,EURO600 Q1,EURO600 Q2,EURO600 Q3,EURO600 Q4,Previous Year EURO600 Q1,Previous Year EURO600 Q2,Previous Year EURO600 Q3,Previous Year EURO600 Q4
2004,238.027,240.424,235.231,245.879,188.13,196.806,211.703,221.874
2005,260.272,265.985,286.587,298.606,238.027,240.424,235.231,245.879
2006,324.837,324.87,328.165,355.71,260.272,265.985,286.587,298.606
2007,371.69,389.813,377.537,372.779,324.837,324.87,328.165,355.71
2008,320.708,314.825,278.678,209.527,371.69,389.813,377.537,372.779
2009,183.241,202.007,226.674,245.184,320.708,314.825,278.678,209.527
2010,253.027,254.234,256.103,269.726,183.241,202.007,226.674,245.184
2011,281.188,276.038,242.694,236.386,253.027,254.234,256.103,269.726
2012,260.839,248.865,265.505,273.619,281.188,276.038,242.694,236.386
2013,289.606,295.16,302.857,318.412,260.839,248.865,265.505,273.619
2014,330.06,340.022,340.256,334.743,289.606,295.16,302.857,318.412
2015,376.325,398.718,375.305,369.373,330.06,340.022,340.256,334.743
2016,334.626,337.54,340.543,344.748,376.325,398.718,375.305,369.373
2017,369.545,387.724,379.594,389.576,334.626,337.54,340.543,344.748
2018,383.4,384.614,383.495,357.498,369.545,387.724,379.594,389.576
2019,364.896,382.465,383.287,401.222,383.4,384.614,383.495,357.498
