Year,S&P500 Q1,S&P500 Q2,S&P500 Q3,S&P500 Q4,Previous Year S&P500 Q1,Previous Year S&P500 Q2,Previous Year S&P500 Q3,Previous Year S&P500 Q4
2004,1132.671,1123.196,1103.908,1162.652,860.76,937.995,1000.38,1056.453
2005,1191.948,1181.974,1224.174,1230.468,1132.671,1123.196,1103.908,1162.652
2006,1283.655,1280.812,1288.317,1388.635,1191.948,1181.974,1224.174,1230.468
2007,1424.381,1497.176,1489.463,1495.745,1283.655,1280.812,1288.317,1388.635
2008,1350.661,1371.628,1252.025,911.977,1424.381,1497.176,1489.463,1495.745
2009,807.666,892.601,995.748,1088.723,1350.661,1371.628,1252.025,911.977
2010,1123.594,1134.584,1096.247,1204.586,807.666,892.601,995.748,1088.723
2011,1302.529,1318.333,1225.268,1225.651,1123.594,1134.584,1096.247,1204.586
2012,1348.784,1349.679,1400.946,1418.139,1302.529,1318.333,1225.268,1225.651
2013,1513.98,1609.491,1674.944,1768.667,1348.784,1349.679,1400.946,1418.139
2014,1834.871,1900.373,1975.908,2009.344,1513.98,1609.491,1674.944,1768.667
2015,2063.69,2101.829,2027.2,2052.312,1834.871,1900.373,1975.908,2009.344
2016,1951.225,2075.131,2162.057,2184.879,2063.69,2101.829,2027.2,2052.312
2017,2325.928,2397.971,2467.175,2603.277,1951.225,2075.131,2162.057,2184.879
2018,2733.477,2703.131,2849.601,2698.927,2325.928,2397.971,2467.175,2603.277
2019,2721.004,2882.328,2957.836,3080.406,2733.477,2703.131,2849.601,2698.927
