Year,Start Date,End Date,ECB Interest Rate
2003,01/01/2003,07/03/2003,2.75
2003,07/03/2003,06/06/2003,2.5
2003,06/06/2003,31/12/2003,2
2004,01/01/2004,31/12/2004,2
2005,01/01/2005,06/12/2005,2
2005,06/12/2005,31/12/2005,2.25
2006,01/01/2006,08/03/2006,2.25
2006,08/03/2006,15/06/2006,2.5
2006,15/06/2006,09/08/2006,2.75
2006,09/08/2006,11/10/2006,3
2006,11/10/2006,13/12/2006,3.25
2006,13/12/2006,31/12/2006,3.5
2007,01/01/2007,14/03/2007,3.5
2007,14/03/2007,13/06/2007,3.75
2007,13/06/2007,31/12/2007,4
2008,01/01/2008,09/07/2008,4
2008,09/07/2008,15/10/2008,4.25
2008,15/10/2008,12/11/2008,3.75
2008,12/11/2008,10/12/2008,3.25
2008,10/12/2008,31/12/2008,2.5
2009,01/01/2009,21/01/2009,2.5
2009,21/01/2009,11/03/2009,2
2009,11/03/2009,08/04/2009,1.5
2009,08/04/2009,13/05/2009,1.25
2009,13/05/2009,31/12/2009,1
2010,01/01/2010,31/12/2010,1
2011,01/01/2011,13/04/2011,1
2011,13/04/2011,13/07/2011,1.25
2011,13/07/2011,09/11/2011,1.5
2011,09/11/2011,14/12/2011,1.25
2011,14/12/2011,31/12/2011,1
2012,01/01/2012,11/07/2012,1
2012,11/07/2012,31/12/2012,0.75
2013,01/01/2013,08/05/2013,0.75
2013,08/05/2013,13/11/2013,0.5
2013,13/11/2013,31/12/2013,0.25
2014,01/01/2014,11/06/2014,0.25
2014,11/06/2014,10/09/2014,0.15
2014,10/09/2014,31/12/2014,0.05
2015,01/01/2015,31/12/2015,0.05
2016,01/01/2016,16/03/2016,0.05
2016,16/03/2016,31/12/2016,0
2017,01/01/2017,31/12/2017,0
2018,01/01/2018,31/12/2018,0
2019,01/01/2019,31/12/2019,0
