Country,Election Year
Austria,2002
Austria,2006
Austria,2008
Austria,2013
Austria,2017
Austria,2019
Belgium,2003
Belgium,2007
Belgium,2010
Belgium,2014
Belgium,2019
Cyprus,2001
Cyprus,2008
Cyprus,2011
Cyprus,2016
Czech Republic,2002
Czech Republic,2006
Czech Republic,2010
Czech Republic,2013
Czech Republic,2017
Denmark,2001
Denmark,2005
Denmark,2007
Denmark,2011
Denmark,2015
Denmark,2019
Estonia,2003
Estonia,2007
Estonia,2011
Estonia,2015
Estonia,2019
Finland,2003
Finland,2007
Finland,2011
Finland,2015
Finland,2019
France,2002
France,2005
France,2012
France,2017
Germany,2002
Germany,2005
Germany,2009
Germany,2013
Germany,2017
Greece,2000
Greece,2004
Greece,2009
Greece,2014
Greece,2019
Hungary,2002
Hungary,2006
Hungary,2010
Hungary,2014
Hungary,2018
Ireland,2002
Ireland,2007
Ireland,2011
Ireland,2018
Italy,2001
Italy,2006
Italy,2008
Italy,2013
Italy,2018
Latvia,2002
Latvia,2006
Latvia,2010
Latvia,2011
Latvia,2014
Latvia,2018
Lithuania,2000
Lithuania,2004
Lithuania,2008
Lithuania,2012
Lithuania,2016
Luxembourg,1999
Luxembourg,2004
Luxembourg,2009
Luxembourg,2013
Luxembourg,2018
Malta,2003
Malta,2008
Malta,2013
Malta,2017
Netherlands,2003
Netherlands,2006
Netherlands,2010
Netherlands,2012
Netherlands,2017
Poland,2001
Poland,2005
Poland,2007
Poland,2011
Poland,2015
Poland,2019
Portugal,2002
Portugal,2005
Portugal,2009
Portugal,2011
Portugal,2015
Portugal,2019
Slovakia,2002
Slovakia,2006
Slovakia,2010
Slovakia,2012
Slovakia,2016
Slovenia,2000
Slovenia,2004
Slovenia,2008
Slovenia,2011
Slovenia,2014
Slovenia,2018
Spain,2000
Spain,2004
Spain,2008
Spain,2011
Spain,2015
Spain,2016
Spain,2019
Sweden,2002
Sweden,2006
Sweden,2010
Sweden,2014
Sweden,2018
United Kingdom,2001
United Kingdom,2005
United Kingdom,2010
United Kingdom,2015
United Kingdom,2017
United Kingdom,2019
